Account number;Year;Month;Value DKK;Cost Center
CCNN/20101000;K4/2018;7;1322704,111;435
CCNN/20101000;K4/2018;8;1322704,111;435
CCNN/20101000;K4/2018;9;1322704,111;435
CCNN/20101000;K4/2018;10;1322704,111;435
CCNN/20101000;K4/2018;11;1322704,111;435
CCNN/20101000;K4/2018;12;1322704,111;435
CCNN/20101002;K4/2018;7;110227,518;435
CCNN/20101002;K4/2018;8;110227,518;435
CCNN/20101002;K4/2018;9;110227,518;435
CCNN/20101002;K4/2018;10;110227,518;435
CCNN/20101002;K4/2018;11;110227,518;435
CCNN/20101002;K4/2018;12;110227,518;435
CCNN/20101100;K4/2018;7;405694,6968;435
CCNN/20101100;K4/2018;8;405694,6968;435
CCNN/20101100;K4/2018;9;405694,6968;435
CCNN/20101100;K4/2018;10;405694,6968;435
CCNN/20101100;K4/2018;11;405694,6968;435
CCNN/20101100;K4/2018;12;405694,6968;435
CCNN/21101000;K4/2018;7;483056,2716;435
CCNN/21101000;K4/2018;8;483056,2716;435
CCNN/21101000;K4/2018;9;483056,2716;435
CCNN/21101000;K4/2018;10;483056,2716;435
CCNN/21101000;K4/2018;11;483056,2716;435
CCNN/21101000;K4/2018;12;483056,2716;435
CCNN/21101002;K4/2018;7;43223,0226;435
CCNN/21101002;K4/2018;8;43223,0226;435
CCNN/21101002;K4/2018;9;43223,0226;435
CCNN/21101002;K4/2018;10;43223,0226;435
CCNN/21101002;K4/2018;11;43223,0226;435
CCNN/21101002;K4/2018;12;43223,0226;435
CCNN/21102001;K4/2018;7;606,9366;435
CCNN/21102001;K4/2018;8;606,9366;435
CCNN/21102001;K4/2018;9;606,9366;435
CCNN/21102001;K4/2018;10;606,9366;435
CCNN/21102001;K4/2018;11;606,9366;435
CCNN/21102001;K4/2018;12;606,9366;435
CCNN/22202000;K4/2018;7;1182756,278;435
CCNN/22202000;K4/2018;8;1182756,278;435
CCNN/22202000;K4/2018;9;1182756,278;435
CCNN/22202000;K4/2018;10;1182756,278;435
CCNN/22202000;K4/2018;11;1182756,278;435
CCNN/22202000;K4/2018;12;1182756,278;435
CCNN/22399014;K4/2018;7;113177,3604;435
CCNN/22399014;K4/2018;8;94310,1162;435
CCNN/22399014;K4/2018;9;56588,6802;435
CCNN/22399014;K4/2018;10;56588,6802;435
CCNN/22399014;K4/2018;11;56588,6802;435
CCNN/22399014;K4/2018;12;56588,6802;435
CCNN/24219000;K4/2018;7;67696,2726;435
CCNN/24219000;K4/2018;8;67696,2726;435
CCNN/24219000;K4/2018;9;67696,2726;435
CCNN/24219000;K4/2018;10;67696,2726;435
CCNN/24219000;K4/2018;11;67696,2726;435
CCNN/24219000;K4/2018;12;67696,2726;435
CCNN/24241000;K4/2018;7;-704,8296;435
CCNN/24241000;K4/2018;8;-704,8296;435
CCNN/24241000;K4/2018;9;-704,8296;435
CCNN/24241000;K4/2018;10;-704,8296;435
CCNN/24241000;K4/2018;11;-704,8296;435
CCNN/24241000;K4/2018;12;-704,8296;435
CCNN/24242000;K4/2018;7;-97,893;435
CCNN/24242000;K4/2018;8;-97,893;435
CCNN/24242000;K4/2018;9;-97,893;435
CCNN/24242000;K4/2018;10;-97,893;435
CCNN/24242000;K4/2018;11;-97,893;435
CCNN/24242000;K4/2018;12;-97,893;435
CCNN/24221000;K4/2018;7;8849,5272;435
CCNN/24221000;K4/2018;8;8849,5272;435
CCNN/24221000;K4/2018;9;8849,5272;435
CCNN/24221000;K4/2018;10;8849,5272;435
CCNN/24221000;K4/2018;11;8849,5272;435
CCNN/24221000;K4/2018;12;8849,5272;435
CCNN/24221002;K4/2018;7;50121,216;435
CCNN/24221002;K4/2018;8;50121,216;435
CCNN/24221002;K4/2018;9;50121,216;435
CCNN/24221002;K4/2018;10;50121,216;435
CCNN/24221002;K4/2018;11;50121,216;435
CCNN/24221002;K4/2018;12;50121,216;435
CCNN/24221003;K4/2018;7;259259,8212;435
CCNN/24221003;K4/2018;8;259259,8212;435
CCNN/24221003;K4/2018;9;259259,8212;435
CCNN/24221003;K4/2018;10;259259,8212;435
CCNN/24221003;K4/2018;11;259259,8212;435
CCNN/24221003;K4/2018;12;259259,8212;435
CCNN/24271000;K4/2018;7;-1866,4932;435
CCNN/24271000;K4/2018;8;-1866,4932;435
CCNN/24271000;K4/2018;9;-1866,4932;435
CCNN/24271000;K4/2018;10;-1866,4932;435
CCNN/24271000;K4/2018;11;-1866,4932;435
CCNN/24271000;K4/2018;12;-1866,4932;435
CCNN/23103000;K4/2018;7;-19,5786;435
CCNN/23103000;K4/2018;8;-19,5786;435
CCNN/23103000;K4/2018;9;-19,5786;435
CCNN/23103000;K4/2018;10;-19,5786;435
CCNN/23103000;K4/2018;11;-19,5786;435
CCNN/23103000;K4/2018;12;-19,5786;435
CCNN/27302004;K4/2018;7;12288,8346;435
CCNN/27302004;K4/2018;8;12288,8346;435
CCNN/27302004;K4/2018;9;12288,8346;435
CCNN/27302004;K4/2018;10;12288,8346;435
CCNN/27302004;K4/2018;11;12288,8346;435
CCNN/27302004;K4/2018;12;12288,8346;435
CCNN/27399000;K4/2018;7;117680,4384;435
CCNN/27399000;K4/2018;8;117680,4384;435
CCNN/27399000;K4/2018;9;117680,4384;435
CCNN/27399000;K4/2018;10;117680,4384;435
CCNN/27399000;K4/2018;11;117680,4384;435
CCNN/27399000;K4/2018;12;117680,4384;435
CCNN/28201000;K4/2018;7;5566,8486;435
CCNN/28201000;K4/2018;8;5566,8486;435
CCNN/28201000;K4/2018;9;5566,8486;435
CCNN/28201000;K4/2018;10;5566,8486;435
CCNN/28201000;K4/2018;11;5566,8486;435
CCNN/28201000;K4/2018;12;5566,8486;435
CCNN/28299000;K4/2018;7;30124,9392;435
CCNN/28299000;K4/2018;8;30124,9392;435
CCNN/28299000;K4/2018;9;30124,9392;435
CCNN/28299000;K4/2018;10;30124,9392;435
CCNN/28299000;K4/2018;11;30124,9392;435
CCNN/28299000;K4/2018;12;30124,9392;435
CCNN/20101000;K4/2018;7;1225874,882;576
CCNN/20101000;K4/2018;8;1225874,882;576
CCNN/20101000;K4/2018;9;1225874,882;576
CCNN/20101000;K4/2018;10;1225874,882;576
CCNN/20101000;K4/2018;11;1225874,882;576
CCNN/20101000;K4/2018;12;1198543,156;576
CCNN/20101002;K4/2018;7;102154,6086;576
CCNN/20101002;K4/2018;8;102154,6086;576
CCNN/20101002;K4/2018;9;102154,6086;576
CCNN/20101002;K4/2018;10;102154,6086;576
CCNN/20101002;K4/2018;11;102154,6086;576
CCNN/20101002;K4/2018;12;99876,9648;576
CCNN/20101004;K4/2018;7;7257,1344;576
CCNN/20101004;K4/2018;8;7257,1344;576
CCNN/20101004;K4/2018;9;7257,1344;576
CCNN/20101004;K4/2018;10;7257,1344;576
CCNN/20101004;K4/2018;11;7257,1344;576
CCNN/20101004;K4/2018;12;7100,5056;576
CCNN/20101100;K4/2018;7;518147,649;576
CCNN/20101100;K4/2018;8;518147,649;576
CCNN/20101100;K4/2018;9;518147,649;576
CCNN/20101100;K4/2018;10;518147,649;576
CCNN/20101100;K4/2018;11;518147,649;576
CCNN/20101100;K4/2018;12;518147,649;576
CCNN/21101000;K4/2018;7;410347,8774;576
CCNN/21101000;K4/2018;8;410347,8774;576
CCNN/21101000;K4/2018;9;410347,8774;576
CCNN/21101000;K4/2018;10;410347,8774;576
CCNN/21101000;K4/2018;11;410347,8774;576
CCNN/21101000;K4/2018;12;410347,8774;576
CCNN/21101002;K4/2018;7;29224,3236;576
CCNN/21101002;K4/2018;8;29224,3236;576
CCNN/21101002;K4/2018;9;29224,3236;576
CCNN/21101002;K4/2018;10;29224,3236;576
CCNN/21101002;K4/2018;11;29224,3236;576
CCNN/21101002;K4/2018;12;29224,3236;576
CCNN/22202000;K4/2018;7;1146503,237;576
CCNN/22202000;K4/2018;8;1146503,237;576
CCNN/22202000;K4/2018;9;1146503,237;576
CCNN/22202000;K4/2018;10;1146503,237;576
CCNN/22202000;K4/2018;11;1146503,237;576
CCNN/22202000;K4/2018;12;1131616,975;576
CCNN/22399014;K4/2018;7;112746,6312;576
CCNN/22399014;K4/2018;8;93951,1752;576
CCNN/22399014;K4/2018;9;56373,3156;576
CCNN/22399014;K4/2018;10;56373,3156;576
CCNN/22399014;K4/2018;11;56373,3156;576
CCNN/22399014;K4/2018;12;55296,4926;576
CCNN/24219000;K4/2018;7;40906,2216;576
CCNN/24219000;K4/2018;8;40906,2216;576
CCNN/24219000;K4/2018;9;40906,2216;576
CCNN/24219000;K4/2018;10;40906,2216;576
CCNN/24219000;K4/2018;11;40906,2216;576
CCNN/24219000;K4/2018;12;40906,2216;576
CCNN/24241000;K4/2018;7;-221,8908;576
CCNN/24241000;K4/2018;8;-221,8908;576
CCNN/24241000;K4/2018;9;-221,8908;576
CCNN/24241000;K4/2018;10;-221,8908;576
CCNN/24241000;K4/2018;11;-221,8908;576
CCNN/24241000;K4/2018;12;-221,8908;576
CCNN/24242000;K4/2018;7;-241,4694;576
CCNN/24242000;K4/2018;8;-241,4694;576
CCNN/24242000;K4/2018;9;-241,4694;576
CCNN/24242000;K4/2018;10;-241,4694;576
CCNN/24242000;K4/2018;11;-241,4694;576
CCNN/24242000;K4/2018;12;-241,4694;576
CCNN/24221000;K4/2018;7;20446,5846;576
CCNN/24221000;K4/2018;8;20446,5846;576
CCNN/24221000;K4/2018;9;20446,5846;576
