Account number;Year;Month;Value DKK;Cost Center
CCNN/24221003;K4/2019;6;768,79512;435
CCNN/24221003;K4/2019;6;365,4672;435
CCNN/24221003;K4/2019;6;225,02688;435
CCNN/24221003;K4/2019;6;14187,4332;435
CCNN/24221003;K4/2019;6;65,7876;435
CCNN/24221003;K4/2019;6;1536,92448;435
CCNN/24221003;K4/2019;6;848,406;435
CCNN/24221003;K4/2019;6;6510,53712;435
CCNN/24221003;K4/2019;6;125,04024;435
CCNN/24221003;K4/2019;6;175,9446;435
CCNN/24221003;K4/2019;6;489,26352;435
CCNN/24221003;K4/2019;6;8431,78908;435
CCNN/24221003;K4/2019;6;1709,8644;435
CCNN/24221003;K4/2019;6;344,58336;435
CCNN/24221003;K4/2019;6;8766,90288;435
CCNN/24221003;K4/2019;6;19457,72952;435
CCNN/24221003;K4/2019;6;12997,05432;435
CCNN/24221003;K4/2019;6;786,79692;435
CCNN/24221003;K4/2019;6;1827,336;435
CCNN/24221003;K4/2019;6;2241,75408;435
CCNN/24221003;K4/2019;6;1742,4954;435
CCNN/24221003;K4/2019;6;2241,75408;435
CCNN/24221003;K4/2019;6;1990,491;435
CCNN/24221003;K4/2019;6;2188,88748;435
CCNN/24221003;K4/2019;6;229,72224;435
CCNN/24221003;K4/2019;6;574,10412;435
CCNN/24221003;K4/2019;6;1487,7108;435
CCNN/24221003;K4/2019;6;2023,6476;435
CCNN/24221003;K4/2019;6;3621,2088;435
CCNN/24221003;K4/2019;6;2875,57512;435
CCNN/24221003;K4/2019;6;2678,9394;435
CCNN/24221003;K4/2019;6;920,25552;435
CCNN/24221003;K4/2019;6;1862,97168;435
CCNN/24221003;K4/2019;6;498,07608;435
CCNN/24221003;K4/2019;6;1263,13944;435
CCNN/24221003;K4/2019;6;2543,0718;435
CCNN/24221003;K4/2019;6;326,63412;435
CCNN/24221003;K4/2019;6;2718,94632;435
CCNN/24221003;K4/2019;6;2329,8534;435
CCNN/24221003;K4/2019;6;5183,83512;435
CCNN/24221003;K4/2019;6;5925,66696;435
CCNN/24221003;K4/2019;6;4513,70388;435
CCNN/24221003;K4/2019;6;11629,8198;435
CCNN/24221003;K4/2019;6;434,25072;435
CCNN/24221003;K4/2019;6;1540,83144;435
CCNN/24221003;K4/2019;6;706,91448;435
CCNN/24221003;K4/2019;6;810,0372;435
CCNN/24221003;K4/2019;6;13100,36976;435
CCNN/24221003;K4/2019;6;2801,30784;435
CCNN/24221003;K4/2019;6;1174,716;435
CCNN/24221003;K4/2019;6;603,28368;435
CCNN/24221003;K4/2019;6;0,06132;435
CCNN/24221003;K4/2019;6;1442,2902;435
CCNN/24221003;K4/2019;6;4429,86192;435
CCNN/24221003;K4/2019;6;1602,5106;435
CCNN/24221003;K4/2019;6;9173,34936;435
CCNN/24221003;K4/2019;6;8731,67016;435
CCNN/24221003;K4/2019;6;6040,0638;435
CCNN/24221003;K4/2019;6;5028,43272;435
CCNN/24221003;K4/2019;6;9903,63552;435
CCNN/24221003;K4/2019;6;4661,0208;435
CCNN/24221003;K4/2019;6;2514,21636;435
