Account number;Year;Month;Value DKK;Cost Center
CCNN/20101000;K4/2020;7;803881,3921;435
CCNN/20101000;K4/2020;8;801692,3266;435
CCNN/20101000;K4/2020;9;735276,9341;435
CCNN/20101000;K4/2020;10;832686,3193;435
CCNN/20101000;K4/2020;11;832686,3193;435
CCNN/20101000;K4/2020;12;832686,3193;435
CCNN/20101001;K4/2020;7;81709,48039;435
CCNN/20101001;K4/2020;8;81637,07686;435
CCNN/20101001;K4/2020;9;82673,11966;435
CCNN/20101002;K4/2020;10;69391,89629;435
CCNN/20101002;K4/2020;11;69391,89629;435
CCNN/20101002;K4/2020;12;69391,89629;435
CCNN/20101100;K4/2020;7;236470,3218;435
CCNN/20101100;K4/2020;8;232864,3638;435
CCNN/20101100;K4/2020;9;231218,2439;435
CCNN/20101100;K4/2020;10;255398,3404;435
CCNN/20101100;K4/2020;11;255398,3404;435
CCNN/20101100;K4/2020;12;255398,3404;435
CCNN/20104000;K4/2020;7;984,505596;435
CCNN/20104000;K4/2020;8;984,505596;435
CCNN/20104000;K4/2020;9;1547,907352;435
CCNN/20104101;K4/2020;7;-814,698872;435
CCNN/20104101;K4/2020;8;-4345,64162;435
CCNN/20104101;K4/2020;9;98200,84891;435
CCNN/20102000;K4/2020;7;2830,3369;435
CCNN/20102000;K4/2020;8;896,987872;435
CCNN/20102000;K4/2020;9;21797,51432;435
CCNN/20102001;K4/2020;7;42990,97882;435
CCNN/20102001;K4/2020;8;51317,0446;435
CCNN/20102001;K4/2020;9;49239,05579;435
CCNN/20102002;K4/2020;7;-16661,81736;435
CCNN/20102002;K4/2020;8;-15974,79325;435
CCNN/20102002;K4/2020;9;-123972,2312;435
CCNN/21101000;K4/2020;7;299519,2686;435
CCNN/21101000;K4/2020;8;284536,6163;435
CCNN/21101000;K4/2020;9;279473,679;435
CCNN/21101000;K4/2020;10;304100,0409;435
CCNN/21101000;K4/2020;11;304100,0409;435
CCNN/21101000;K4/2020;12;304100,0409;435
CCNN/21101004;K4/2020;7;6401,884548;435
CCNN/21101004;K4/2020;8;6950,61458;435
CCNN/21101004;K4/2020;9;5722,501168;435
CCNN/21101002;K4/2020;7;31604,26948;435
CCNN/21101002;K4/2020;8;24018,49174;435
CCNN/21101002;K4/2020;9;23536,08934;435
CCNN/21101002;K4/2020;10;27210,34984;435
CCNN/21101002;K4/2020;11;27210,34984;435
CCNN/21101002;K4/2020;12;27210,34984;435
CCNN/21104001;K4/2020;7;74,373068;435
