,LocationCode,Location,Company,DepartmentNumber,CostCenter
0,1000,India,Company B,70_9,98
1,1000,India,Company B,70_9,99
2,1000,India,Company B,70_9,101
3,1000,India,Company B,70_9,103
4,1000,India,Company B,70_9,122
5,1000,India,Company B,70_9,96
6,1000,India,Company B,70_9,107
7,1000,India,Company B,70_9,116
8,1000,India,Company B,70_9,128
9,1000,India,Company B,70_9,134
10,1000,India,Company B,70_9,135
11,1000,India,Company B,70_9,102
12,1000,India,Company B,70_9,111
13,1000,India,Company B,70_9,115
14,1000,India,Company B,70_9,123
15,1000,India,Company B,70_9,127
16,1000,India,Company B,70_9,130
17,1000,India,Company B,70_9,43
18,1000,India,Company B,70_9,112
19,1000,India,Company B,70_9,113
20,1000,India,Company B,70_9,114
21,1000,India,Company B,70_9,117
22,1000,India,Company B,70_9,119
23,1000,India,Company B,70_9,121
24,1000,India,Company B,70_9,124
25,1000,India,Company B,70_9,125
26,1000,India,Company B,70_9,133
27,1000,India,Company B,70_9,137
28,1000,India,Company B,70_9,139
29,1000,India,Company B,70_9,143
30,1000,India,Company B,70_9,100
31,1000,India,Company B,70_9,108
32,1000,India,Company B,70_9,131
33,1000,India,Company B,70_9,132
34,1000,India,Company B,70_9,136
35,1000,India,Company B,70_9,138
36,1000,India,Company B,70_9,599
37,1000,India,Company B,70_9,97
38,1000,India,Company B,70_9,105
39,1000,India,Company B,70_9,106
40,1000,India,Company B,70_9,120
41,1000,India,Company B,70_9,126
42,1000,India,Company B,70_9,141
43,1000,India,Company B,70_9,142
44,1000,India,Company B,70_9,637
45,1000,India,Company B,70_9,104
46,1000,India,Company B,70_9,109
47,1000,India,Company B,70_9,110
48,1000,India,Company B,70_9,118
49,1000,India,Company B,70_9,129
50,1000,India,Company B,70_9,140
51,1000,India,Company B,70_9,574
52,2000,Denmark,Company B,79_9,1
53,2000,Denmark,Company B,79_9,2
54,2000,Denmark,Company B,79_9,575
55,2000,Denmark,Company B,79_9,600
56,2000,Denmark,Company B,79_9,638
57,2000,Denmark,Company B,79_9,149
58,2000,Denmark,Company B,79_9,666
59,2000,Denmark,Company B,79_9,148
60,3000,Finland,Company D,78_8,6
61,3000,Finland,Company D,78_8,16
62,3000,Finland,Company D,78_8,387
63,3000,Finland,Company D,78_8,388
64,3000,Finland,Company D,78_8,582
65,3000,Finland,Company D,78_8,586
66,3000,Finland,Company D,78_8,385
67,3000,Finland,Company D,78_8,396
68,3000,Finland,Company D,78_8,610
69,3000,Finland,Company D,78_8,9
70,3000,Finland,Company D,78_8,379
71,3000,Finland,Company D,78_8,380
72,3000,Finland,Company D,78_8,382
73,3000,Finland,Company D,78_8,383
74,3000,Finland,Company D,78_8,391
75,3000,Finland,Company D,78_8,583
76,3000,Finland,Company D,78_8,629
77,3000,Finland,Company D,78_8,11
78,3000,Finland,Company D,78_8,12
79,3000,Finland,Company D,78_8,13
80,3000,Finland,Company D,78_8,384
81,3000,Finland,Company D,78_8,389
82,3000,Finland,Company D,78_8,390
83,3000,Finland,Company D,78_8,397
84,3000,Finland,Company D,78_8,398
85,3000,Finland,Company D,78_8,611
